,address,lat,lon
82,1201 W LOUIS HENNA BLVD AUSTIN TX,30.4771496,-97.6902542
83,1100 MERCER AVE DECATUR IN,40.817419,-84.91503689999999
84,2329 PARKER RD CARROLLTON TX,33.0435473,-96.8663593
85,305 ESTILL STREET BEREA KY,37.5766235,-84.28630559999999
86,PR-997 KM H .1 C/ANTONIO G MELLADO FINAL VIEQUES PR,18.146826,-65.441281
87,"3916 BEN FRANKLIN BLVD, PO BOX 15819 DURHAM NC",36.0428317,-78.8971115
88,450 SOUTH OCOTILLO AVENUE BENSON AZ,31.9645592,-110.3076796
89,1575 BEAM AVENUE MAPLEWOOD MN,45.0286219,-93.0322537
90,1201 W LA VETA AVE ORANGE CA,33.7809877,-117.8657581
91,100 EAST HELEN STREET HERINGTON KS,38.6800991,-96.9423005
92,3500 TOWER AVE SUPERIOR WI,46.6975411,-92.1027222
93,802 2ND STREET SE CUT BANK MT,48.6282523,-112.3268579
94,100 SOUTH ELLIS BOISE CITY OK,36.7286669,-102.5181963
95,3000 GETWELL ROAD MEMPHIS TN,35.0671862,-89.9310167
96,850 RIVERVIEW AVENUE PINEVILLE KY,36.7626902,-83.70770840000002
97,1600 PRAIRIE CENTER PKWY BRIGHTON CO,39.9645491,-104.7685472
98,810 N WELO ST TIOGA ND,48.403004,-102.9350655
99,3100 SUPERIOR AVE SHEBOYGAN WI,43.7624789,-87.7478249
