,address,coordinates
75,"6420 Clayton Rd, Richmond Heights, MO 63117, USA","38.63309604,-90.31089581"
76,"1005 E 32nd St, Austin, TX 78705, USA","30.28968932,-97.72498576"
77,"109 Bee St, Charleston, SC 29401, USA","32.78417401,-79.95400559"
78,"80 Seymour St, Hartford, CT 06106, USA","41.75374687,-72.68032466"
79,"800 Zorn Ave, Louisville, KY 40206, USA","38.270259,-85.696895"
80,"15190 Community Rd #250, Gulfport, MS 39503, USA","30.44409012,-89.09343366"
81,"129 N Washington St, Sumter, SC 29150, USA","33.92361132,-80.34272105"
82,"2001 N Jefferson Ave, Mt Pleasant, TX 75455, USA","33.17559939,-94.97117494"
83,"129 6th Ave SE, Pine City, MN 55063, USA","45.82375708,-92.96437531"
84,"5000 W National Ave, Milwaukee, WI 53295, USA","43.02078897,-87.97646349"
85,"900 College Ave W, Ladysmith, WI 54848, USA","45.45466867,-91.11004987"
86,"2207 S Clear Creek Rd #304, Killeen, TX 76549, USA","31.11344991,-97.80167081"
87,"7705 Poplar Ave, Germantown, TN 38138, USA","35.08981816,-89.80836623"
88,"5601 Plum Creek Dr, Amarillo, TX 79124, USA","35.218499,-101.9022048"
89,"900 Main St # A6-14, Roosevelt Island, NY 10044, USA","40.77030214,-73.94214388"
90,"1500 Grand Lake Dr, Conroe, TX 77304, USA","30.28203591,-95.46559063"
91,"2707 L St, Ord, NE 68862, USA","41.60211148,-98.94280528"
92,"421 N Main St, Northampton, MA 01062, USA","42.3496,-72.6824"
93,"100 5th St, Douglas, AZ 85607, USA","31.33959437,-109.5606822"
94,"2900 TX-256 Loop, Palestine, TX 75801, USA","31.73259668,-95.62722756"
95,"55J8+FRG, Castaner, Adjuntas 00631, Puerto Rico","18.18101307,-66.83318175"
96,"835 Union St, Shelbyville, TN 37160, USA","35.49344589,-86.47247381"
97,"510 N Green St, Valentine, NE 69201, USA","42.87939012,-100.5381664"
98,"700 SE Inner Loop, Georgetown, TX 78626, USA","30.60604065,-97.67346489"
99,"632 Morrison Springs Rd, Chattanooga, TN 37415, USA","35.1235785,-85.30202706"
